,State,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,HUESTIMATE2010,HUESTIMATE2011,HUESTIMATE2012,HUESTIMATE2013,HUESTIMATE2014,HUESTIMATE2015,HUESTIMATE2016,HUESTIMATE2017,HUESTIMATE2018,HUESTIMATE2019,2010 Mean Housing,2011 Mean Housing,2012 Mean Housing,2013 Mean Housing,2014 Mean Housing,2015 Mean Housing,2016 Mean Housing,2017 Mean Housing,2018 Mean Housing,2019 Mean Housing
16,Kansas,1138,-3903,1352,-6184,-6531,-3838,-10521,-12486,-7511,-8253,2468916,2476106,2483986,2493348,2506568,2517994,2531368,2547060,2561298,2576952,127154.83333333333,123051.25,122086.33333333333,123819.25,126154.91666666667,130616.5,135790.41666666666,142204.5,149596.0,156036.58333333334
17,Kentucky,5551,8862,4220,6753,-2109,2142,3343,7852,1121,-776,3857114,3869398,3881220,3896982,3911074,3926098,3944272,3966836,3989092,4012944,116003.91666666667,112486.58333333333,111864.91666666667,113411.5,116051.83333333333,119896.66666666667,125200.91666666667,132440.33333333334,140004.91666666666,146662.5
18,Louisiana,5308,9456,3561,4501,-1121,242,-6727,-24974,-24483,-23005,3936370,3957984,3981426,4005432,4031622,4060540,4086338,4121326,4150808,4179820,154599.08333333334,150207.5,149539.0,151544.83333333334,154961.16666666666,158603.5,162544.0,166785.0,170893.08333333334,171918.33333333334
19,Maine,-1015,1099,-396,959,3314,-630,4626,5443,6642,7465,1444946,1449920,1454278,1459268,1465158,1470850,1477510,1484960,1493054,1501938,192656.58333333334,188635.41666666666,185730.25,189155.66666666666,190548.66666666666,195051.41666666666,204045.75,216396.41666666666,229612.75,239678.66666666666
20,Maryland,7396,21004,19100,10142,6647,1645,-8296,-1437,-8544,-8654,4760260,4773482,4789570,4808872,4832872,4853328,4874830,4897188,4917150,4940926,284419.25,268217.8333333333,262375.1666666667,275559.5,288088.25,289456.25,294895.5,305652.3333333333,316873.9166666667,323964.1666666667
21,Massachusetts,12435,28245,30496,33783,33166,17709,14092,23785,11129,-1848,5619780,5635420,5652398,5676088,5703072,5730436,5762232,5792734,5827606,5857692,338694.4166666667,325803.8333333333,317771.0833333333,336385.3333333333,353712.0,365381.4166666667,381627.5,402784.25,426424.3333333333,436557.75
22,Michigan,-14053,-19283,-9045,-4999,-5336,-15172,573,7780,-2994,-10524,9064444,9070400,9078896,9092300,9107668,9128738,9155688,9189118,9228210,9259498,102940.91666666667,96526.5,97362.25,107892.08333333333,120253.91666666667,127172.5,135299.25,146381.66666666666,158674.33333333334,168781.58333333334
23,Minnesota,-1100,6958,2114,9621,9176,4535,13722,18135,15822,9178,4697392,4712268,4725286,4751404,4779460,4806796,4838580,4874486,4911552,4955920,188724.08333333334,173086.08333333334,170345.75,185234.5,199524.83333333334,206375.91666666666,218178.33333333334,232572.25,248354.0,260170.91666666666
24,Mississippi,-478,-2448,-5583,-2997,-6380,-9109,-7182,-4998,-12762,-9311,2552992,2563076,2573590,2585872,2599556,2614026,2628690,2644998,2662936,2678154,109463.16666666667,107122.0,105945.66666666667,105171.75,106195.5,110645.0,113424.08333333333,116884.33333333333,121086.16666666667,126106.41666666667
25,Missouri,1369,-5967,-5351,-934,-2775,744,-205,7211,3058,4793,5429250,5439802,5453084,5471514,5493146,5520278,5549668,5580814,5612234,5639046,134530.83333333334,126719.25,124002.58333333333,126839.0,130784.33333333333,135223.0,141719.91666666666,150057.5,159173.0,167271.33333333334
26,Montana,653,3732,3345,6965,5238,5659,7845,9648,6284,6346,967242,972914,978024,983816,993616,1001398,1010932,1020230,1029894,1039954,210076.41666666666,203281.25,205712.16666666666,215006.41666666666,225686.75,235323.25,242938.58333333334,254277.83333333334,268592.5,283753.75
27,Nebraska,403,1060,2176,2205,3339,1748,3908,1043,-54,-925,1595328,1603732,1611908,1622088,1634778,1647536,1661168,1674488,1689586,1702584,131295.66666666666,127339.5,127665.58333333333,133123.08333333334,137257.58333333334,143680.83333333334,150333.16666666666,160544.58333333334,171370.08333333334,180719.25
28,Nevada,-2144,-5259,16760,18122,27307,35254,37516,40501,46658,42237,2350764,2362620,2373932,2391050,2412388,2437140,2463980,2498584,2536826,2571658,164408.08333333334,148329.25,145732.91666666666,179530.0,208570.33333333334,224127.33333333334,240929.75,260040.5,297279.1666666667,314294.75
29,New Hampshire,-354,1211,2345,806,5779,2752,5489,6616,5076,6416,1230436,1234928,1239020,1243056,1248070,1254830,1261856,1269154,1276074,1284696,233959.33333333334,226748.5,221494.5,229324.5,238717.58333333334,247493.5,256844.91666666666,272348.4166666667,289931.3333333333,302500.0
